"Name","Price level","Price","Price (String)"
"Einzelfahrkarte ermäßigt","PS 8+T",5,"5,00 €"
"Einzelfahrkarte ermäßigt","PS 9",5.6,"5,60 €"
"Einzelfahrkarte ermäßigt","PS 9+T",5.6,"5,60 €"
"Einzelfahrkarte ermäßigt","PS 10",6.1,"6,10 €"
"Einzelfahrkarte ermäßigt","PS 10+T",6.1,"6,10 €"
"Einzelfahrkarte ermäßigt","PS A",1.6,"1,60 €"
"Einzelfahrkarte ermäßigt","PS B",1.3,"1,30 €"
"Einzelfahrkarte ermäßigt","PS C",1.2,"1,20 €"
"Einzelfahrkarte ermäßigt","PS D",1,"1,00 €"
"Einzelfahrkarte ermäßigt","PS F",0.7,"0,70 €"
"Einzelfahrkarte ermäßigt","PS K",0.8,"0,80 €"
"4er-Ticket","PS 1",6.8,"6,80 €"
"4er-Ticket","PS A",11,"11,00 €"
"4er-Ticket","PS B",9,"9,00 €"
"4er-Ticket","PS C",8.2,"8,20 €"
"4er-Ticket","PS D",6.8,"6,80 €"
"4er-Ticket","PS F",5,"5,00 €"
"4er-Ticket","PS K",5.8,"5,80 €"
"4er-Ticket ermäßigt","PS 1",3.4,"3,40 €"
"4er-Ticket ermäßigt","PS A",5.5,"5,50 €"
"4er-Ticket ermäßigt","PS B",4.5,"4,50 €"
"4er-Ticket ermäßigt","PS C",4.1,"4,10 €"
"4er-Ticket ermäßigt","PS D",3.4,"3,40 €"
"4er-Ticket ermäßigt","PS F",2.5,"2,50 €"
"4er-Ticket ermäßigt","PS K",2.9,"2,90 €"
"TagesTicket Solo","PS 1",4.5,"4,50 €"
"TagesTicket Solo","PS 2",5.4,"5,40 €"
"TagesTicket Solo","PS A",8.3,"8,30 €"
"TagesTicket Solo","PS B",5.4,"5,40 €"
"TagesTicket Solo","PS C",4.8,"4,80 €"
"TagesTicket Solo","PS D",4.5,"4,50 €"
"TagesTicket Solo","PS F",2.8,"2,80 €"
"TagesTicket Plus","PS 1",8.9,"8,90 €"
"TagesTicket Plus","PS 2",8.9,"8,90 €"
"TagesTicket Plus","PS 2+T",12.9,"12,90 €"
"TagesTicket Plus","PS 3",12.9,"12,90 €"
"TagesTicket Plus","PS 3+T",12.9,"12,90 €"
"TagesTicket Plus","PS 4",12.9,"12,90 €"
"TagesTicket Plus","PS 4+T",12.9,"12,90 €"
"TagesTicket Plus","PS 5",16.8,"16,80 €"
"TagesTicket Plus","PS 5+T",16.8,"16,80 €"
"TagesTicket Plus","PS 6",16.8,"16,80 €"
"TagesTicket Plus","PS 6+T",16.8,"16,80 €"
"TagesTicket Plus","PS 7",16.8,"16,80 €"
"TagesTicket Plus","PS 7+T",16.8,"16,80 €"
"TagesTicket Plus","PS 8",20.3,"20,30 €"
"TagesTicket Plus","PS 8+T",20.3,"20,30 €"
"TagesTicket Plus","PS 9",20.3,"20,30 €"
"TagesTicket Plus","PS 9+T",20.3,"20,30 €"
"TagesTicket Plus","PS 10",20.3,"20,30 €"
"TagesTicket Plus","PS 10+T",20.3,"20,30 €"
"TagesTicket Plus","PS A",12.3,"12,30 €"
"TagesTicket Plus","PS B",8.7,"8,70 €"
"TagesTicket Plus","PS C",7.8,"7,80 €"
"TagesTicket Plus","PS D",7.2,"7,20 €"
"TagesTicket Plus","PS F",4.7,"4,70 €"
"7-Tage-MobiCard","PS 1",14.4,"14,40 €"
"7-Tage-MobiCard","PS 2",23.2,"23,20 €"
"7-Tage-MobiCard","PS 2+T",28,"28,00 €"
"7-Tage-MobiCard","PS 3",31.1,"31,10 €"
"7-Tage-MobiCard","PS 3+T",36.6,"36,60 €"
"7-Tage-MobiCard","PS 4",40.1,"40,10 €"
"7-Tage-MobiCard","PS 4+T",43.1,"43,10 €"
"7-Tage-MobiCard","PS 5",46.8,"46,80 €"
"7-Tage-MobiCard","PS 5+T",50,"50,00 €"
"7-Tage-MobiCard","PS 6",52.5,"52,50 €"
"7-Tage-MobiCard","PS 6+T",57.1,"57,10 €"
"7-Tage-MobiCard","PS 7",61.4,"61,40 €"
"7-Tage-MobiCard","PS 7+T",65.9,"65,90 €"
"7-Tage-MobiCard","PS 8",70,"70,00 €"
"7-Tage-MobiCard","PS 8+T",73.9,"73,90 €"
"7-Tage-MobiCard","PS 9",78.1,"78,10 €"
"7-Tage-MobiCard","PS 9+T",81.8,"81,80 €"
"7-Tage-MobiCard","PS 10",86.5,"86,50 €"
"7-Tage-MobiCard","PS 10+T",93,"93,00 €"
"7-Tage-MobiCard","PS A",26.7,"26,70 €"
"7-Tage-MobiCard","PS B",22.1,"22,10 €"
"7-Tage-MobiCard","PS C",17.8,"17,80 €"
"7-Tage-MobiCard","PS D",14.4,"14,40 €"
"7-Tage-MobiCard","PS F",9.9,"9,90 €"
"31-Tage-MobiCard","PS 1",48.5,"48,50 €"
"31-Tage-MobiCard","PS 2",79.6,"79,60 €"
"31-Tage-MobiCard","PS 2+T",95.2,"95,20 €"
"31-Tage-MobiCard","PS 3",105.9,"105,90 €"
"31-Tage-MobiCard","PS 3+T",125.3,"125,30 €"
"31-Tage-MobiCard","PS 4",137.4,"137,40 €"
"31-Tage-MobiCard","PS 4+T",147.6,"147,60 €"
"31-Tage-MobiCard","PS 5",160.2,"160,20 €"
"31-Tage-MobiCard","PS 5+T",171.1,"171,10 €"
"31-Tage-MobiCard","PS 6",179.4,"179,40 €"
"31-Tage-MobiCard","PS 6+T",195.4,"195,40 €"
"31-Tage-MobiCard","PS 7",209.8,"209,80 €"
"31-Tage-MobiCard","PS 7+T",224.7,"224,70 €"
"31-Tage-MobiCard","PS 8",239.3,"239,30 €"
"31-Tage-MobiCard","PS 8+T",252.5,"252,50 €"
"31-Tage-MobiCard","PS 9",267,"267,00 €"
"31-Tage-MobiCard","PS 9+T",279.7,"279,70 €"
"31-Tage-MobiCard","PS 10",295.8,"295,80 €"
"31-Tage-MobiCard","PS 10+T",318.2,"318,20 €"
"31-Tage-MobiCard","PS A",90.9,"90,90 €"
"31-Tage-MobiCard","PS B",74.6,"74,60 €"
"31-Tage-MobiCard","PS C",60.7,"60,70 €"
"31-Tage-MobiCard","PS D",48.5,"48,50 €"
"31-Tage-MobiCard","PS F",33.8,"33,80 €"
"9-Uhr-MobiCard","PS 1",39,"39,00 €"
"9-Uhr-MobiCard","PS 2",64.9,"64,90 €"
"9-Uhr-MobiCard","PS 2+T",77.1,"77,10 €"
"9-Uhr-MobiCard","PS 3",77.1,"77,10 €"
"9-Uhr-MobiCard","PS 3+T",77.1,"77,10 €"
"9-Uhr-MobiCard","PS 4",77.1,"77,10 €"
"9-Uhr-MobiCard","PS 4+T",77.1,"77,10 €"
"9-Uhr-MobiCard","PS 5",96.1,"96,10 €"
"9-Uhr-MobiCard","PS 5+T",96.1,"96,10 €"
"9-Uhr-MobiCard","PS 6",96.1,"96,10 €"
"9-Uhr-MobiCard","PS 6+T",96.1,"96,10 €"
"9-Uhr-MobiCard","PS 7",96.1,"96,10 €"
"9-Uhr-MobiCard","PS 7+T",96.1,"96,10 €"
"9-Uhr-MobiCard","PS 8",105.1,"105,10 €"
"9-Uhr-MobiCard","PS 8+T",105.1,"105,10 €"
"9-Uhr-MobiCard","PS 9",105.1,"105,10 €"
"9-Uhr-MobiCard","PS 9+T",105.1,"105,10 €"
"9-Uhr-MobiCard","PS 10",105.1,"105,10 €"
"9-Uhr-MobiCard","PS 10+T",105.1,"105,10 €"
"9-Uhr-MobiCard","PS A",73.4,"73,40 €"
"9-Uhr-MobiCard","PS B",60.1,"60,10 €"
"9-Uhr-MobiCard","PS C",49.5,"49,50 €"
"9-Uhr-MobiCard","PS D",39,"39,00 €"
"9-Uhr-MobiCard","PS F",27.1,"27,10 €"
"Solo 31","PS 1",44.1,"44,10 €"
"Solo 31","PS 2",71.7,"71,70 €"
"Solo 31","PS 2+T",85.8,"85,80 €"
"Solo 31","PS 3",95.3,"95,30 €"
"Solo 31","PS 3+T",112.9,"112,90 €"
"Solo 31","PS 4",123.5,"123,50 €"
"Solo 31","PS 4+T",132.7,"132,70 €"
"Solo 31","PS 5",144.2,"144,20 €"
"Solo 31","PS 5+T",154.1,"154,10 €"
"Solo 31","PS 6",161.6,"161,60 €"
"Solo 31","PS 6+T",176.1,"176,10 €"
"Solo 31","PS 7",189,"189,00 €"
"Solo 31","PS 7+T",202.5,"202,50 €"
"Solo 31","PS 8",215.6,"215,60 €"
"Solo 31","PS 8+T",227.5,"227,50 €"
"Solo 31","PS 9",240.6,"240,60 €"
"Solo 31","PS 9+T",252,"252,00 €"
"Solo 31","PS 10",266.5,"266,50 €"
"Solo 31","PS 10+T",286.7,"286,70 €"
"Solo 31","PS A",80.1,"80,10 €"
"Solo 31","PS B",67.9,"67,90 €"
"Solo 31","PS C",54.4,"54,40 €"
"Solo 31","PS D",44.1,"44,10 €"
"Solo 31","PS F",30.3,"30,30 €"
"Abo 3","PS 1",41.9,"41,90 €"
"Abo 3","PS 2",67.9,"67,90 €"
"Abo 3","PS 2+T",81.3,"81,30 €"
"Abo 3","PS 3",90.3,"90,30 €"
"Abo 3","PS 3+T",107,"107,00 €"
"Abo 3","PS 4",117,"117,00 €"
"Abo 3","PS 4+T",125.7,"125,70 €"
"Abo 3","PS 5",136.6,"136,60 €"
"Abo 3","PS 5+T",146,"146,00 €"
"Abo 3","PS 6",153.1,"153,10 €"
"Abo 3","PS 6+T",166.9,"166,90 €"
"Abo 3","PS 7",179.1,"179,10 €"
"Abo 3","PS 7+T",191.9,"191,90 €"
"Abo 3","PS 8",204.3,"204,30 €"
"Abo 3","PS 8+T",215.6,"215,60 €"
"Abo 3","PS 9",228,"228,00 €"
"Abo 3","PS 9+T",238.8,"238,80 €"
"Abo 3","PS 10",252.5,"252,50 €"
"Abo 3","PS 10+T",271.6,"271,60 €"
"Abo 3","PS A",73.9,"73,90 €"
"Abo 3","PS B",63,"63,00 €"
"Abo 3","PS C",51.3,"51,30 €"
"Abo 3","PS D",41.9,"41,90 €"
"Abo 3","PS F",28.7,"28,70 €"
"Abo 6","PS 1",39.6,"39,60 €"
"Abo 6","PS 2",64.2,"64,20 €"
"Abo 6","PS 2+T",76.8,"76,80 €"
"Abo 6","PS 3",85.3,"85,30 €"
"Abo 6","PS 3+T",101,"101,00 €"
"Abo 6","PS 4",110.5,"110,50 €"
"Abo 6","PS 4+T",118.8,"118,80 €"
"Abo 6","PS 5",129.1,"129,10 €"
"Abo 6","PS 5+T",137.9,"137,90 €"
"Abo 6","PS 6",144.6,"144,60 €"
"Abo 6","PS 6+T",157.6,"157,60 €"
"Abo 6","PS 7",169.2,"169,20 €"
"Abo 6","PS 7+T",181.2,"181,20 €"
"Abo 6","PS 8",193,"193,00 €"
"Abo 6","PS 8+T",203.6,"203,60 €"
"Abo 6","PS 9",215.3,"215,30 €"
"Abo 6","PS 9+T",225.5,"225,50 €"
"Abo 6","PS 10",238.5,"238,50 €"
"Abo 6","PS 10+T",256.6,"256,60 €"
"Abo 6","PS A",68.9,"68,90 €"
"Abo 6","PS B",59.4,"59,40 €"
"Abo 6","PS C",48.4,"48,40 €"
"Abo 6","PS D",39.6,"39,60 €"
"Abo 6","PS F",27.1,"27,10 €"
"Abo 3","PS 1",34.5,"34,50 €"
"Abo 3","PS 2",56.7,"56,70 €"
"Abo 3","PS 2+T",67.8,"67,80 €"
"Abo 3","PS 3",75.6,"75,60 €"
"Abo 3","PS 3+T",89.2,"89,20 €"
"Abo 3","PS 4",97.4,"97,40 €"
"Abo 3","PS 4+T",104.8,"104,80 €"
"Abo 3","PS 5",114,"114,00 €"
"Abo 3","PS 5+T",121.9,"121,90 €"
"Abo 3","PS 6",127.9,"127,90 €"
"Abo 3","PS 6+T",139.7,"139,70 €"
